epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8458608984947205,0.1145695149898529,0.6603617072105408,1e-04,0.07882777601480484,0.003509744768962264,0.8279428482055664,0.11689775437116623,0.590948224067688,0.09241622686386108,0.0014714389108121395
1,0.8445613980293274,0.08703580498695374,0.5232100486755371,1e-04,0.057662490755319595,0.000960387522354722,0.8301448822021484,0.09333343803882599,0.48625051975250244,0.13846154510974884,5.054561188444495e-05
2,0.8490849733352661,0.07897362112998962,0.43777334690093994,1e-04,0.1617647111415863,4.675674790632911e-05,0.8301820755004883,0.10296782851219177,0.4493286609649658,0.09090909361839294,5.616178896161728e-06
3,0.8484929203987122,0.08642108738422394,0.4126538932323456,1e-04,0.1525423675775528,1.270016855414724e-05,0.8301849365234375,0.08211170881986618,0.4352501630783081,0.0,0.0
4,0.8487065434455872,0.08712413161993027,0.39152494072914124,1e-04,0.054794520139694214,2.826205900419154e-06,0.8301916122436523,0.0917351096868515,0.41438961029052734,0.0,0.0
5,0.8474817872047424,0.09593277424573898,0.37591463327407837,1e-04,0.0,0.0,0.8301916122436523,0.11995947360992432,0.39405977725982666,0.0,0.0
6,0.8482335805892944,0.10743136703968048,0.35833272337913513,1e-04,0.0,0.0,0.8301916122436523,0.1307312399148941,0.3648074269294739,0.0,0.0
7,0.8497531414031982,0.1300540417432785,0.32899582386016846,1e-04,0.0,0.0,0.8301916122436523,0.13451017439365387,0.3454113006591797,0.0,0.0
8,0.848501980304718,0.15095745027065277,0.30138257145881653,1e-04,0.0,0.0,0.8301916122436523,0.18141034245491028,0.2994726300239563,0.0,0.0
9,0.8516283631324768,0.18125790357589722,0.26644155383110046,1e-04,0.0,0.0,0.8301916122436523,0.2097664475440979,0.27306073904037476,0.0,0.0
10,0.8497092127799988,0.21197941899299622,0.2461213767528534,1e-04,1.0,7.112319622137875e-07,0.8301916122436523,0.23057642579078674,0.2612101435661316,0.0,0.0
11,0.8468518853187561,0.238128662109375,0.2334500104188919,1e-04,0.9375,1.0469340850249864e-05,0.8302116394042969,0.26831138134002686,0.23492306470870972,0.9259259104728699,0.0001404044742230326
12,0.8530865907669067,0.26086142659187317,0.2195654809474945,1e-04,0.934448778629303,0.03495157137513161,0.8382673263549805,0.28522685170173645,0.22894112765789032,0.9240609407424927,0.05720078572630882
13,0.8710872530937195,0.2955131530761719,0.20266276597976685,1e-04,0.8406866788864136,0.21746113896369934,0.8796072006225586,0.33076056838035583,0.2047966718673706,0.8673111200332642,0.38548892736434937
14,0.9007263779640198,0.34429702162742615,0.18732929229736328,1e-04,0.819999098777771,0.5076539516448975,0.8998823165893555,0.37920498847961426,0.19289164245128632,0.8684196472167969,0.5397597551345825
15,0.9141898155212402,0.3755711615085602,0.17375341057777405,1e-04,0.8475779891014099,0.5851752161979675,0.9153709411621094,0.40264540910720825,0.1818864494562149,0.8774558305740356,0.6549195051193237
16,0.9191157221794128,0.41808608174324036,0.16645547747612,1e-04,0.8427143096923828,0.6607199907302856,0.9113359451293945,0.42197340726852417,0.17940637469291687,0.9179790019989014,0.5686606168746948
17,0.9245854616165161,0.4333270788192749,0.1577366143465042,1e-04,0.863074004650116,0.6737967133522034,0.9211578369140625,0.469206303358078,0.16541075706481934,0.8423942923545837,0.7598802447319031
18,0.9276847839355469,0.4641907513141632,0.1496955156326294,1e-04,0.8573629260063171,0.7133145332336426,0.9215316772460938,0.49953028559684753,0.1587068885564804,0.8412116765975952,0.7635757327079773
19,0.929383397102356,0.4852679669857025,0.14497515559196472,1e-04,0.8586056232452393,0.7308018207550049,0.9264793395996094,0.48959168791770935,0.15529289841651917,0.8590198159217834,0.7773522138595581
20,0.9322993159294128,0.5090564489364624,0.13690903782844543,1e-04,0.8713281154632568,0.7433342337608337,0.9286775588989258,0.5419629812240601,0.14247417449951172,0.8603205680847168,0.7945657968521118
21,0.9347714781761169,0.5325685143470764,0.1299159973859787,1e-04,0.8724905252456665,0.7640883922576904,0.9311532974243164,0.5531471967697144,0.13742175698280334,0.8990215063095093,0.7471708655357361
22,0.9361099004745483,0.5472233891487122,0.12534193694591522,1e-04,0.8766974806785583,0.7642293572425842,0.9328012466430664,0.5704247951507568,0.13125604391098022,0.8940096497535706,0.7696917057037354
23,0.935074508190155,0.5462319850921631,0.126435324549675,1e-04,0.8591005802154541,0.7788500785827637,0.9319944381713867,0.5650852918624878,0.1329980194568634,0.9166377782821655,0.7269132733345032
24,0.936042845249176,0.5512456297874451,0.12377458065748215,1e-04,0.8784157633781433,0.761374294757843,0.9311113357543945,0.5679030418395996,0.13536293804645538,0.9265913367271423,0.702089786529541
25,0.9390318989753723,0.5695326924324036,0.11799529194831848,1e-04,0.8870372772216797,0.7739163041114807,0.9364376068115234,0.600947380065918,0.1215742975473404,0.8981488943099976,0.795964241027832
26,0.9386565685272217,0.5793473720550537,0.11691883951425552,1e-04,0.8845229148864746,0.7797409892082214,0.936187744140625,0.6062780618667603,0.12121832370758057,0.9234792590141296,0.7515907883644104
27,0.9410885572433472,0.5905901789665222,0.11133819073438644,1e-04,0.8907049298286438,0.7858372330665588,0.9367074966430664,0.606873631477356,0.12006549537181854,0.9318411350250244,0.7402573227882385
28,0.9401330351829529,0.5905139446258545,0.11300681531429291,1e-04,0.8869172930717468,0.7910575270652771,0.9374418258666992,0.6259732246398926,0.11973943561315536,0.9178860783576965,0.7701073288917542
29,0.9412456154823303,0.5981056690216064,0.11004719138145447,1e-04,0.8913609981536865,0.7871946096420288,0.9384584426879883,0.6279879212379456,0.11373640596866608,0.8912261128425598,0.826392650604248
30,0.9431042075157166,0.6056753396987915,0.10694316029548645,1e-04,0.8979804515838623,0.792984664440155,0.9400701522827148,0.6431207656860352,0.11081504076719284,0.9199678301811218,0.790510892868042
31,0.9434139132499695,0.6121290922164917,0.10520211607217789,1e-04,0.8996204733848572,0.7953336834907532,0.9403171539306641,0.6496568918228149,0.11013054847717285,0.8923622965812683,0.8431176543235779
32,0.9428857564926147,0.6119948029518127,0.10629195719957352,1e-04,0.892021894454956,0.8040305972099304,0.9414587020874023,0.6416322588920593,0.1088811606168747,0.9160367250442505,0.8064664602279663
33,0.9449310898780823,0.62810218334198,0.10129022598266602,1e-04,0.9054452776908875,0.8061894774436951,0.9426155090332031,0.6540743112564087,0.10628779977560043,0.9369202852249146,0.7816991209983826
34,0.9466524124145508,0.6351525783538818,0.09703134745359421,1e-04,0.9059768319129944,0.8100559711456299,0.9438619613647461,0.6538192629814148,0.1032121405005455,0.9173527359962463,0.8266566395759583
